dim	coefficient
0	0.0014165775
1	0.0013936262
2	0.0016375417
3	0.0013894599
4	0.0015309639
5	0.0013558834
6	0.0014767222
7	0.0015430484
8	0.0012855318
9	0.0013515382
10	0.0013251493
11	0.0012079614
12	0.0011825132
13	0.0012858583
14	0.0012517181
15	0.0012894433
16	0.00135708
17	0.001145425
18	0.0012834317
19	0.0013408143
20	0.001362115
21	0.0012660637
22	0.0012448368
23	0.0013266951
24	0.0012314939
25	0.0013589807
26	0.0012542958
27	0.0013622915
28	0.0011642715
29	0.0011125373
30	0.0012521693
31	0.001270364
32	0.0011950608
33	0.0013027022
34	0.0013741697
35	0.0011699665
36	0.0012357658
37	0.0011936249
38	0.001186511
39	0.0011383026
40	0.0012751118
41	0.0011934212
42	0.0013349907
43	0.0013562575
44	0.0012956877
45	0.0013026943
46	0.0014735414
47	0.0011982213
48	0.0012778528
49	0.0013290206
50	0.0012737737
51	0.0013692911
52	0.0015387137
53	0.0014661538
54	0.0012521656
55	0.0013628897
56	0.001218564
57	0.001339342
58	0.0013061959
59	0.0012615874
60	0.0013463864
61	0.001347009
62	0.0014263935
63	0.001344265
64	0.0012929993
65	0.0012749305
66	0.0011475793
67	0.0013324248
68	0.0014624912
69	0.0013840153
70	0.0011808575
71	0.0012779759
72	0.0012045202
73	0.0013521912
74	0.0014031543
75	0.0016081405
76	0.0011579223
77	0.0011868192
78	0.0012886199
79	0.0013326752
80	0.0013205333
81	0.0012020383
82	0.001262826
83	0.0013445904
84	0.0011829666
85	0.001135291
86	0.001553172
87	0.0011685195
88	0.0012287372
89	0.0013504967
90	0.0012593587
91	0.0013505048
92	0.0012014648
93	0.0011504065
94	0.0012931154
95	0.0013321077
96	0.0015087846
97	0.0011668551
98	0.0013807857
99	0.0012506837
100	0.0012140721
101	0.0014208053
102	0.0014030923
103	0.0012587347
104	0.0012541563
105	0.0010997669
106	0.0011864831
107	0.0013513315
108	0.0015394319
109	0.0012818914
110	0.0013527507
111	0.0012172186
112	0.0011853985
113	0.0011660764
114	0.0012370007
115	0.0013222105
116	0.0012554391
117	0.0014848907
118	0.0013416733
119	0.0013102539
120	0.0014925825
121	0.0014506631
122	0.0011569205
123	0.0012222832
124	0.0012733911
125	0.0011734281
126	0.0011650881
127	0.0013964665
128	0.0012404517
129	0.0012996625
130	0.0011573662
131	0.0011460729
132	0.0012794137
133	0.0011577395
134	0.0012299544
135	0.0013008439
136	0.0014425829
137	0.0011847706
138	0.0014777216
139	0.0012272118
140	0.0012988357
141	0.0013914934
142	0.0013754576
143	0.0012749159
144	0.001381697
145	0.0013100002
146	0.0013329245
147	0.0012301843
148	0.0012297622
149	0.0013595173
150	0.0011742928
151	0.0013236039
152	0.0011186904
153	0.0011471085
154	0.0011147046
155	0.0014334979
156	0.001373927
157	0.0014268563
158	0.0013363968
159	0.001194148
160	0.001161971
161	0.0012864849
162	0.0012982511
163	0.0011467532
164	0.0013535897
165	0.0012671828
166	0.0012659566
167	0.0015350631
168	0.0014498745
169	0.0013330486
170	0.0011370647
171	0.0015457552
172	0.0014353065
173	0.0012992639
174	0.0014396184
175	0.0012400285
176	0.0013523502
177	0.0012361694
178	0.0011527607
179	0.0012989778
180	0.0010266931
181	0.0012861296
182	0.0011717253
183	0.0014525801
184	0.0012470252
185	0.0012851924
186	0.0015252497
187	0.0012212554
188	0.0012826434
189	0.0012715147
190	0.001375133
191	0.0012061559
192	0.0013308628
193	0.0014034003
194	0.0013861911
195	0.0013232318
196	0.0012436755
197	0.001577017
198	0.0012620165
199	0.0012134626
